sample,current_a,current_uA
1,1.959974e-05,19.599740
2,2.000822e-05,20.008220
3,1.982261e-05,19.822610
4,1.959353e-05,19.593530
5,1.957992e-05,19.579920
6,2.099753e-05,20.997530
7,2.051574e-05,20.515740
8,2.010336e-05,20.103360
9,2.063578e-05,20.635780
10,1.901694e-05,19.016940
11,1.985027e-05,19.850270
12,2.044642e-05,20.446420
13,2.015449e-05,20.154490
14,1.984057e-05,19.840570
15,1.991051e-05,19.910510
16,1.981928e-05,19.819280
17,2.071129e-05,20.711290
18,1.952118e-05,19.521180
19,2.006678e-05,20.066780
20,1.995387e-05,19.953870
21,2.063389e-05,20.633890
22,1.994330e-05,19.943300
23,2.000534e-05,20.005340
24,2.057615e-05,20.576150
25,1.958891e-05,19.588910
26,1.966076e-05,19.660760
27,1.926834e-05,19.268340
28,2.053809e-05,20.538090
29,2.002102e-05,20.021020
30,2.075747e-05,20.757470
31,1.983273e-05,19.832730
32,2.014952e-05,20.149520
33,1.986810e-05,19.868100
34,2.023196e-05,20.231960
35,2.018645e-05,20.186450
36,1.987330e-05,19.873300
37,2.072964e-05,20.729640
38,2.022803e-05,20.228030
39,1.985322e-05,19.853220
40,2.014639e-05,20.146390
41,2.017472e-05,20.174720
42,1.967988e-05,19.679880
43,1.978243e-05,19.782430
44,2.075179e-05,20.751790
45,2.066479e-05,20.664790
46,1.994091e-05,19.940910
47,1.980129e-05,19.801290
48,1.982625e-05,19.826250
49,2.002833e-05,20.028330
50,2.033909e-05,20.339090
51,1.978616e-05,19.786160
52,1.944469e-05,19.444690
53,2.079541e-05,20.795410
54,2.030933e-05,20.309330
55,2.019920e-05,20.199200
56,2.031779e-05,20.317790
57,2.026828e-05,20.268280
58,1.972393e-05,19.723930
59,2.060390e-05,20.603900
60,2.021827e-05,20.218270
61,2.039952e-05,20.399520
62,2.022079e-05,20.220790
63,2.037692e-05,20.376920
64,2.018093e-05,20.180930
65,1.979168e-05,19.791680
66,2.013438e-05,20.134380
67,2.037277e-05,20.372770
68,2.078994e-05,20.789940
69,2.016367e-05,20.163670
70,2.034176e-05,20.341760
71,1.994879e-05,19.948790
72,1.991256e-05,19.912560
73,2.006222e-05,20.062220
74,2.022160e-05,20.221600
75,2.041196e-05,20.411960
76,1.973818e-05,19.738180
77,2.014352e-05,20.143520
78,2.003836e-05,20.038360
79,1.999152e-05,19.991520
80,1.991171e-05,19.911710
81,2.048101e-05,20.481010
82,1.933684e-05,19.336840
83,1.963444e-05,19.634440
84,2.073671e-05,20.736710
85,1.952882e-05,19.528820
86,1.990164e-05,19.901640
87,2.069705e-05,20.697050
88,2.000400e-05,20.004000
89,1.984357e-05,19.843570
90,1.982245e-05,19.822450
91,1.989695e-05,19.896950
92,1.970724e-05,19.707240
93,1.989880e-05,19.898800
94,1.977917e-05,19.779170
95,2.140915e-05,21.409150
96,2.032249e-05,20.322490
97,2.090227e-05,20.902270
98,2.031728e-05,20.317280
99,1.976544e-05,19.765440
100,1.978381e-05,19.783810
101,2.057299e-05,20.572990
102,1.928093e-05,19.280930
103,2.009967e-05,20.099670
104,1.979760e-05,19.797600
105,1.911129e-05,19.111290
106,1.987115e-05,19.871150
107,1.999325e-05,19.993250
108,2.017050e-05,20.170500
109,1.962256e-05,19.622560
110,2.013791e-05,20.137910
111,1.964191e-05,19.641910
112,2.005592e-05,20.055920
113,1.992849e-05,19.928490
114,1.963506e-05,19.635060
115,2.007812e-05,20.078120
116,1.895109e-05,18.951090
117,2.027798e-05,20.277980
118,1.990802e-05,19.908020
119,1.980886e-05,19.808860
120,2.082186e-05,20.821860
121,1.986851e-05,19.868510
122,1.995185e-05,19.951850
123,1.940190e-05,19.401900
124,2.043934e-05,20.439340
125,2.037379e-05,20.373790
126,2.041434e-05,20.414340
127,2.077030e-05,20.770300
128,1.986889e-05,19.868890
129,2.033813e-05,20.338130
130,1.979181e-05,19.791810
131,1.991021e-05,19.910210
132,1.940596e-05,19.405960
133,2.037853e-05,20.378530
134,2.021348e-05,20.213480
135,2.014950e-05,20.149500
136,1.994974e-05,19.949740
137,2.017731e-05,20.177310
138,1.955092e-05,19.550920
139,2.073377e-05,20.733770
140,2.029573e-05,20.295730
141,1.992194e-05,19.921940
142,2.094168e-05,20.941680
143,2.043347e-05,20.433470
144,2.118605e-05,21.186050
145,2.063100e-05,20.631000
146,2.007643e-05,20.076430
147,2.009978e-05,20.099780
148,1.988737e-05,19.887370
149,2.085342e-05,20.853420
150,2.050891e-05,20.508910
151,2.051576e-05,20.515760
152,2.008967e-05,20.089670
153,2.041102e-05,20.411020
154,1.963302e-05,19.633020
155,2.004003e-05,20.040030
156,1.996925e-05,19.969250
157,2.078399e-05,20.783990
158,2.006006e-05,20.060060
159,2.041079e-05,20.410790
160,2.051806e-05,20.518060
161,2.017912e-05,20.179120
162,2.022809e-05,20.228090
163,2.060783e-05,20.607830
164,1.953918e-05,19.539180
165,2.125916e-05,21.259160
166,2.009741e-05,20.097410
167,2.009209e-05,20.092090
168,2.054308e-05,20.543080
169,2.076770e-05,20.767700
170,2.037873e-05,20.378730
171,1.985967e-05,19.859670
172,2.001308e-05,20.013080
173,1.997917e-05,19.979170
174,1.988761e-05,19.887610
175,2.049649e-05,20.496490
176,2.030349e-05,20.303490
177,2.009272e-05,20.092720
178,2.063827e-05,20.638270
179,2.026209e-05,20.262090
180,2.015180e-05,20.151800
181,2.006771e-05,20.067710
182,2.015870e-05,20.158700
183,2.003704e-05,20.037040
184,2.069784e-05,20.697840
185,2.041929e-05,20.419290
186,2.024241e-05,20.242410
187,1.955421e-05,19.554210
188,2.024753e-05,20.247530
189,1.961189e-05,19.611890
190,2.082700e-05,20.827000
191,2.040827e-05,20.408270
192,1.998346e-05,19.983460
193,2.009949e-05,20.099490
194,2.025997e-05,20.259970
195,1.966902e-05,19.669020
196,2.096746e-05,20.967460
197,1.923978e-05,19.239780
198,2.000333e-05,20.003330
199,1.953839e-05,19.538390
200,1.974544e-05,19.745440
