sample,current_a,current_uA
1,2.000285e-05,20.002850
2,1.994908e-05,19.949080
3,2.043433e-05,20.434330
4,1.917934e-05,19.179340
5,1.996889e-05,19.968890
6,2.007565e-05,20.075650
7,1.943110e-05,19.431100
8,2.057910e-05,20.579100
9,2.024843e-05,20.248430
10,1.975906e-05,19.759060
11,1.947310e-05,19.473100
12,2.086675e-05,20.866750
13,2.039843e-05,20.398430
14,2.051856e-05,20.518560
15,2.054923e-05,20.549230
16,1.973853e-05,19.738530
17,2.068201e-05,20.682010
18,1.998610e-05,19.986100
19,2.042808e-05,20.428080
20,1.988143e-05,19.881430
21,2.042255e-05,20.422550
22,1.919509e-05,19.195090
23,1.994094e-05,19.940940
24,2.072769e-05,20.727690
25,2.049383e-05,20.493830
26,1.981037e-05,19.810370
27,2.010117e-05,20.101170
28,1.968453e-05,19.684530
29,2.003312e-05,20.033120
30,1.996282e-05,19.962820
31,1.947219e-05,19.472190
32,2.070151e-05,20.701510
33,1.940831e-05,19.408310
34,2.000087e-05,20.000870
35,1.917772e-05,19.177720
36,2.010292e-05,20.102920
37,2.015553e-05,20.155530
38,1.982379e-05,19.823790
39,1.931913e-05,19.319130
40,2.035587e-05,20.355870
41,1.961753e-05,19.617530
42,2.082870e-05,20.828700
43,2.043431e-05,20.434310
44,2.053444e-05,20.534440
45,1.981860e-05,19.818600
46,2.075603e-05,20.756030
47,2.064587e-05,20.645870
48,2.028779e-05,20.287790
49,2.000592e-05,20.005920
50,2.071516e-05,20.715160
51,1.972122e-05,19.721220
52,2.009098e-05,20.090980
53,1.997666e-05,19.976660
54,2.049940e-05,20.499400
55,2.032935e-05,20.329350
56,1.982012e-05,19.820120
57,2.034925e-05,20.349250
58,2.035520e-05,20.355200
59,2.045665e-05,20.456650
60,2.107823e-05,21.078230
61,1.999650e-05,19.996500
62,2.018951e-05,20.189510
63,2.056568e-05,20.565680
64,1.983362e-05,19.833620
65,1.937102e-05,19.371020
66,1.981141e-05,19.811410
67,2.020021e-05,20.200210
68,2.050967e-05,20.509670
69,1.953304e-05,19.533040
70,1.991723e-05,19.917230
71,1.970027e-05,19.700270
72,1.951806e-05,19.518060
73,2.023264e-05,20.232640
74,2.005577e-05,20.055770
75,2.003290e-05,20.032900
76,1.948598e-05,19.485980
77,1.988480e-05,19.884800
78,1.980263e-05,19.802630
79,2.003997e-05,20.039970
80,1.967568e-05,19.675680
81,2.032184e-05,20.321840
82,2.028801e-05,20.288010
83,1.977284e-05,19.772840
84,2.016868e-05,20.168680
85,2.056452e-05,20.564520
86,1.996993e-05,19.969930
87,2.060238e-05,20.602380
88,1.974513e-05,19.745130
89,1.999689e-05,19.996890
90,1.932467e-05,19.324670
91,2.006629e-05,20.066290
92,1.967872e-05,19.678720
93,2.042819e-05,20.428190
94,1.992472e-05,19.924720
95,1.987170e-05,19.871700
96,1.983595e-05,19.835950
97,2.016541e-05,20.165410
98,2.017284e-05,20.172840
99,1.990383e-05,19.903830
100,1.985999e-05,19.859990
101,1.966812e-05,19.668120
102,2.060646e-05,20.606460
103,2.037525e-05,20.375250
104,1.936053e-05,19.360530
105,1.975161e-05,19.751610
106,2.035895e-05,20.358950
107,1.943683e-05,19.436830
108,2.047980e-05,20.479800
109,2.018241e-05,20.182410
110,1.942113e-05,19.421130
111,2.042323e-05,20.423230
112,2.023483e-05,20.234830
113,2.033543e-05,20.335430
114,2.012787e-05,20.127870
115,1.975469e-05,19.754690
116,1.995162e-05,19.951620
117,1.954206e-05,19.542060
118,2.041160e-05,20.411600
119,1.931538e-05,19.315380
120,2.034342e-05,20.343420
121,2.049401e-05,20.494010
122,1.952347e-05,19.523470
123,1.973127e-05,19.731270
124,1.983567e-05,19.835670
125,1.996000e-05,19.960000
126,1.999503e-05,19.995030
127,2.011128e-05,20.111280
128,2.022198e-05,20.221980
129,1.971786e-05,19.717860
130,1.995179e-05,19.951790
131,1.982085e-05,19.820850
132,1.985768e-05,19.857680
133,2.016523e-05,20.165230
134,1.977519e-05,19.775190
135,2.020481e-05,20.204810
136,2.060485e-05,20.604850
137,1.959851e-05,19.598510
138,1.914770e-05,19.147700
139,1.982757e-05,19.827570
140,2.017897e-05,20.178970
141,2.024199e-05,20.241990
142,1.989326e-05,19.893260
143,2.004279e-05,20.042790
144,2.005263e-05,20.052630
145,2.010343e-05,20.103430
146,1.997295e-05,19.972950
147,2.021251e-05,20.212510
148,1.996373e-05,19.963730
149,1.942025e-05,19.420250
150,2.000966e-05,20.009660
151,2.061260e-05,20.612600
152,1.965627e-05,19.656270
153,1.999450e-05,19.994500
154,1.966570e-05,19.665700
155,2.050894e-05,20.508940
156,2.044379e-05,20.443790
157,1.991121e-05,19.911210
158,2.013449e-05,20.134490
159,1.926048e-05,19.260480
160,2.011855e-05,20.118550
161,2.024185e-05,20.241850
162,1.979621e-05,19.796210
163,2.051061e-05,20.510610
164,1.980005e-05,19.800050
165,1.931278e-05,19.312780
166,2.020341e-05,20.203410
167,2.012703e-05,20.127030
168,1.994528e-05,19.945280
169,1.978377e-05,19.783770
170,2.025096e-05,20.250960
171,1.949825e-05,19.498250
172,2.002240e-05,20.022400
173,1.984883e-05,19.848830
174,1.990112e-05,19.901120
175,2.111148e-05,21.111480
176,1.975840e-05,19.758400
177,2.007947e-05,20.079470
178,2.024242e-05,20.242420
179,2.053911e-05,20.539110
180,2.001015e-05,20.010150
181,1.995852e-05,19.958520
182,2.019969e-05,20.199690
183,1.936114e-05,19.361140
184,1.948721e-05,19.487210
185,2.017673e-05,20.176730
186,1.939300e-05,19.393000
187,1.999290e-05,19.992900
188,2.009403e-05,20.094030
189,1.947227e-05,19.472270
190,2.033901e-05,20.339010
191,2.031138e-05,20.311380
192,2.028646e-05,20.286460
193,1.962413e-05,19.624130
194,1.984590e-05,19.845900
195,1.954780e-05,19.547800
196,2.010956e-05,20.109560
197,1.971944e-05,19.719440
198,2.085504e-05,20.855040
199,2.015269e-05,20.152690
200,1.976289e-05,19.762890
